0;//---------------------------------------------------------player will start on first area
  Errxelz System;//area name
  1;//area class
  3;//climate in climate_types.dat, -1=random climate
  5;//terrain map number
  1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.5000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
  end_excluded_plot_object_classes;
 none;//enter area text, specify none to not show it
1;//Wolf IV: Control area---------------------------------------------------------Ship interior 1
  Wolf IV: Main deck;//area name
 0;//area class
1;//climate in climate_types.dat, -1=random climate
 1;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
The Wolf IV is an old ship, yet since the near-disastrous experience on board the Var Equinallin, it is the only craft with which you will ever trust your life. Even when given the offer of becoming Commander of a United Confederate Navy destroyer after your rescue from Notrium, you turned it down, opting instead to continue at the helm of your old travelling companion. Not the fastest or even the most heavily armed of craft, the Wolf is one of the last remaining ships in the universe to be able to claim the description of 'Earth Built'. That alone is enough reason for you to turn down any newer craft, no matter how more advanced they may be. \ \ The interior of the Wolf IV however has been updated to the very latest in Confederate equipment, complete with healing and energy pools, an on-board supply store, and a large scale holographic training deck.;//enter area text, specify none to not show it
2;//Bunker---------------------------------------------------------Bunker
  Bunker;//area name
  0;//area class
  1;//climate in climate_types.dat, -1=random climate
  2;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
3;//Water planet---------------------------------------------------------planet
  Naquarin;//area name
  0;//area class
  5;//climate in climate_types.dat, -1=random climate
  3;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.1000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  11;//alien type in creatures.dat--------aliens
    40;//number of these aliens
    1;//side
  38;//alien type in creatures.dat---------aliens
    20;//number of these aliens
    1;//side  
	 86;//alien type in creatures.dat---------turtle
   40;//number of these aliens
    10;//side
end_alien_list;
  begin_excluded_plot_object_classes;
  1;
5;
  end_excluded_plot_object_classes;
  You touch down on the surface of Naquarin in a whirlwind of sand and spray. As you step down from the gangplank, the peaceful crash of waves reaches you ears, and, for the first time since the war began, you smile. This planet brings back some deep, long lost memories... Sun, sand, beaches, trees... \ \ You shake your head violently. That place that no longer exists. Memories, that is all that is left now. Memories, fading faces, and a billion screaming voices. \ \ A blur of green flashes in the trees beyond, and gripping your weapon, you stride out into the showering rain.;//enter area text, specify none to not show it
4;//Errxelz 8---------------------------------------------------------
  Errxelz 8;//area name
  0;//area class
  4;//climate in climate_types.dat, -1=random climate
  6;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.8000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
    11;//alien type in creatures.dat--------aliens hand
    80;//number of these aliens
    1;//side
  38;//alien type in creatures.dat---------aliens proj
    50;//number of these aliens
    1;//side  
	  37;//alien type in creatures.dat---------alien tank
    10;//number of these aliens
    1;//side  
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
5;
  end_excluded_plot_object_classes;
  You shiver as you take in the death and destruction that surrounds you. Your mind can only wonder... what happened here? \ \ Suddenly, a flash of brilliant light fills the sky, followed by the boom of explosions and the chatter of gunfire. It seems the Confederate forces based to the north-west are still desperately trying to defend the planet! In the distance several alien fighters scream over the city, and you realise that there is little chance of saving this outpost. Even so, you feel honour-bound to assist these few remaining brave men. \ \ Strapping your weapons to your belt, you run down the gangway and onto the planet. Before you even have a moment to react, a chilling scream fills the air, and from behind a large rock an alien drone hurtles towards you...;//enter area text, specify none to not show it
5;//---------------------------------------------------------
  Ennokknmo System;//area name
  2;//area class
  0;//climate in climate_types.dat, -1=random climate
  0;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  1;//alien type in creatures.dat---------small alien fighters
    50;//number of these aliens
    1;//side
  3;//alien type in creatures.dat---------large alien fighters
    30;//number of these aliens
    1;//side
35;//alien type in creatures.dat---------alien mothership
    3;//number of these aliens
    1;//side
  6;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  7;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  8;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  9;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
70;//alien type in creatures.dat---------asteroids
 30;//number of these aliens
    5;//side
  71;//alien type in creatures.dat---------asteroids
  30;//number of these aliens
    5;//side
 72;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  73;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
  end_excluded_plot_object_classes;
 USS Crego: Captain! You survived the Errxelz System!  We had almost lost all hope that you had survived.  Ennokknmo has not been as heavily hit as Errxelz, however we cannot expect to hold the system for long. \ \  Please help us to destroy the three Alien battleships in this sector, and clear it of enemy fighters until we are able to warn the United Confederacy about what has taken place this night. \ \  On the planet Kinmegag 71 in the neighboring Tiodia System, there is a massively powerful Interplanetary Signal Array that can be used to contact the Confederate capital, New Dawn. Meanwhile, both Lvlei and the valuable mining planet Zycar in this system are under heavy Alien attack.\ \ We will take the fight to them both on the land and in the skies.  Long live the United Confederacy of Planets!;//enter area text, specify none to not show it
6;//Lvlei---------------------------------------------------------forest planet
Lvlei;//area name
  0;//area class
  2;//climate in climate_types.dat, -1=random climate
  4;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
5;
  end_excluded_plot_object_classes;
  Captain Klicc (Lvlei Confederacy Defence): \ \ 'SIR!! We need your help! We're about to be overun... our intelligence reports show that four heavy alien fighters have landed in the jungle east and north-east of our position, supporting what look like humanoid mercenaries. If we can knock out the fighters we should be able to gain enough time to set up a proper defence. \ We are desperately short on machine-gunners... If you want to man the guns, press 'C' when standing near a turret! \ \ When we defeat the alien scum, I will be sure to notify the Confederate Navy regarding your reward (bonus Promotion Points/gifts).';//enter area text, specify none to not show it
7;//Lava---------------------------------------------------------
  Zycar;//area name
  0;//area class
  6;//climate in climate_types.dat, -1=random climate
  7;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
5;  
end_excluded_plot_object_classes;
  Heat shimmers against the Wolf IV's blast shields as you come in to land. Throughout the United Confederacy, the name 'Zycar' is synonomous with fire, death, and hell. \ \ You glance at your scanners: average daily temperature of 80 degrees celsius, not much less at night. Half of the planet's surface covered in fields of lava. Deadly showers of molten rock, every few minutes. \ \ This place is barely fit to sustain life itself, let alone the willful destruction of it occuring on the newly-opened front between the Alien landing force and the United Confederacy troops that are desperately defending the system's valuable ore mines...;//enter area text, specify none to not show it
8;//---------------------------------------------------------
  Tiodia System;//area name
  3;//area class
  3;//climate in climate_types.dat, -1=random climate
  8;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  45;//alien type in creatures.dat---------red wazzal
   8;//number of these aliens
    0;//side
  46;//alien type in creatures.dat---------red wazzal
    8;//number of these aliens
    0;//side
  47;//alien type in creatures.dat---------red wazzal
   8;//number of these aliens
    0;//side
  48;//alien type in creatures.dat---------yellow wazzal
    8;//number of these aliens
